artist_name,track_name,spotify,youtube,youtube_mv,qqmusic,file,poster
"菅野 よう子 feat. Arnor Dan","von",1,0,0,0,0,
"松枝賀子","久遠 -光と波の記憶-",0,0,0,1,0,
"Andrea Vanzo","Amélie - Comptine d’un autre été++l’après-midi (reimagined)",1,1,1,0,1,
"David Holmes","Gone - The Kruder & Dorfmeister Session",1,1,0,0,0,
"Dennis Kuo","Track in Time",1,1,0,0,0,
"Emancipator","Ghost Pong",1,1,0,0,0,
"Guy Skornik","Another Approach",1,1,0,0,0,
"KOSIKK","October",1,1,0,0,0,
"L'Homme Moyen","In This Light",1,1,0,0,0,
"Les Fragments De La Nuit","Devenons Demain II",1,1,0,0,0,
"Lotte Pen","Chronon",1,1,0,0,0,
"Marco Messina","Bassifondi",1,1,0,0,0,
"OKADA","The Right to Destroy Myself",1,1,0,0,0,
"Painless Destiny","Purity",1,1,0,1,0,
"Rat & Co","Spring II",1,1,1,0,0,
"re:plus","A Fall and Rebirth",1,1,0,0,0,
"re:plus","White Avenue",1,1,0,0,0,
"rocomoco","Floating",1,1,0,0,0,
"Sharman Rock","Hanabi (Inst.)",0,1,0,1,0,
"Silent Poets,"D"istant Memory",1,1,0,0,0,
"Sophie Hutchings","Blind Dance",1,1,0,0,0,
"Sophie Hutchings","Memory I",1,1,0,0,0,
"Vincent Leibovitz","Free Movement",1,0,0,0,0,
