"artist_name","track_name","spotify","youtube","youtube_mv","qqmusic","file","lrc_getlrc","lrc_zh"
"#1 Dads","Camberwell",1,1,0,1,1,,
"Absofacto & NITESHIFT","Dissolve",1,1,0,1,1,,
"Adam Christopher","Let Me Down Slowly (Acoustic)",1,1,0,1,0,,
"Adam Christopher, Alessia Cara","Let Me Down Slowly",1,1,0,1,0,,
"AGA","Wonderful U (Demo Version)",1,1,1,1,1,,
"Agnes Obel","Dorian",1,1,1,1,1,,
"Akine","No Gold",1,1,0,0,0,,
"alayna","Falling Autumn",1,1,0,1,1,,
"Alexander Jean","Whiskey and Morphine",1,1,0,1,0,,
"Alina Baraz & Galimatias","Fantasy",1,1,0,1,1,,
"Always Never","Millions",1,1,0,1,1,,
"Always Never","Need Somebody",1,1,0,1,1,,
"Ames","Fluid",1,1,1,1,1,,
"Amongster","Leo",1,1,0,1,1,,
"Ana Zimmer","Underwater",1,1,1,1,1,,
"Andrew Belle","Pieces (Hushed)",1,1,0,1,0,,
"Animals x Starboy","TommyMuzzic",1,1,0,1,0,,
"Anoraak","Figure",1,1,1,0,0,,
"Anya Marina","Serious Love",1,1,1,1,1,,
"Aquilo","Complication",1,1,0,1,1,,
"Aquilo","I Don't Want to See It",1,1,0,1,1,,
"Aquilo","It All Comes Down to This",1,1,0,1,1,,
"Archie Faulks","It Rains",1,1,1,1,1,,
"Arctic Monkeys","Do I Wanna Know",1,1,0,1,1,,
"Arctic Monkeys","I Wanna Be Yours",1,1,0,1,1,,
"Ari Abdul","BABYDOLL (Explicit)",0,0,0,1,0,,
"Ari Gumora","Electric Feel",1,1,0,1,0,,
"Ariana and the Rose","Love You Lately",1,1,1,1,0,,
"Ariana Grande","positions",1,1,1,1,0,,
"Arin Ray","Reckless",1,1,0,1,1,,
"Art School Girlfriend","A Place To Lie",1,1,1,0,1,,
"Art School Girlfriend","Bending Back",1,1,1,1,1,,
"Art School Girlfriend","Come Back To Me",1,1,1,0,1,,
"Art School Girlfriend","Diving",1,1,1,0,1,,
"Art School Girlfriend","Low Light",1,1,1,0,0,,
"Art School Girlfriend","Moon",1,1,0,0,1,,
"Art School Girlfriend","Out There (Live from The Church Studios)",0,1,1,0,1,,
"Art School Girlfriend","Out There",1,1,0,0,1,,
"Austin Mahone","Except For Us",1,1,0,1,1,,
"Babyface & Jenevieve","Sometimes",1,1,0,0,1,,
"Baths","Voyeur",1,1,0,1,1,,
"Before You Exit","Silence",1,1,1,1,1,,
"Ben Howard","Small Things",1,1,0,0,0,,
"benny blanco, Halsey & Khalid","Eastside",0,1,0,0,0,,
"BETWEEN FRIENDS","affection",1,1,1,0,1,,
"BIGBANG x RED VELVET","If You/One Of These Night (MashUp)",0,1,1,1,0,,
"Billie Eilish","BIRDS OF A FEATHER",1,1,1,0,1,,
"Billie Eilish","idontwannabeyouanymore",1,1,1,1,0,,
"Blondfire","Kiss and Collide",1,1,0,1,1,,
"Bob Moses","Enough to Believe",1,1,1,0,1,,
"Bob Moses","Stealing Fire",1,1,0,1,0,,
"Borneland & Falcon Punch","Night Time",1,1,0,1,1,,
"BOY","No Sleep For The Dreamer",1,1,0,0,0,,
"BRADD","When the Lightning Strikes",1,1,1,1,0,,
"Brett","Favours",1,1,0,1,1,,
"Brian Cheng","Bye Bye Monica",1,1,0,1,1,,
"Cally Rhodes","Your Place",1,1,0,1,1,,
"Caly Bevier","See You Now",1,1,0,1,1,,
"Camilla North","Carry Me Home",1,1,0,1,1,,
"Camilla North","Not Here",1,1,0,1,1,,
"Cannons","Fire for You (Official Video)",1,1,1,0,1,,
"Cannons","Hurricane (Official Video)",0,1,1,0,0,,
"Carys Selvey","Shallow",1,1,0,1,0,,
"Cat Power","Werewolf",1,1,0,1,1,,
"Cathedrals","Ooo Aaa",1,0,0,0,0,,
"Charlie Cunningham","Bite",1,1,1,1,1,,
"Charlotte Lawrence","Why Do You Love Me",1,1,1,1,1,,
"Chelsea Jade","Colour Sum",1,1,0,1,1,,
"Childish Gambino","Redbone",1,1,0,1,1,,
"Chris Velan","Oldest Trick",1,1,1,1,1,,
"Christian Kuria","Bitter Pill",1,1,0,1,1,,
"Christian Kuria","Deep Green",1,1,0,1,1,,
"Christian Kuria","Losing You",1,1,0,1,0,,
"Christian Kuria","Ride",1,1,0,1,1,,
"Christian Kuria","Slow Fade",1,1,0,1,1,,
"Christian Kuria","So",1,1,0,1,1,,
"Chymes","Oracle",1,1,0,1,0,,
"CLAVVS","Electric Feel",1,1,0,0,1,,
"Cocoon","Baby Seal",1,1,0,1,1,,
"Cody Lovaas","OH NO!",1,1,1,1,0,,
"Collin Selman","dayDREAM",1,1,0,1,1,,
"Darren Korb","In Circles (feat. Ashley Barrett)",1,1,0,1,0,,
"daste.","What If?",1,1,0,1,1,,
"Dave Thomas Junior","Hue",1,1,0,1,1,,
"Dave Thomas Junior","What Do I Do With This Heart Now?",1,1,0,1,0,,
"Deb Talan, Steve Tannen & The Weepies","Gotta Have You",1,1,0,1,0,,
"Delorians","<3 Song",1,1,0,0,1,,
"Delorians","Daisy",1,1,0,0,1,,
"Devon Baldwin","Ocean",1,1,1,0,1,,
"Dhruv","double take",1,1,1,0,1,,
"Diane Birch","Love and War",1,1,0,1,0,,
"Dizzy","Pretty Thing",1,1,0,1,0,,
"Dizzy","Stars And Moons",1,1,0,1,1,,
"Doja Cat","Kiss Me More",1,1,1,1,1,,
"Doja Cat","Paint The Town Red",1,1,1,0,1,,
"Drew Love, Emmit Fenn","Without You",1,1,0,1,1,,
"Du Tonc","Slow Down",1,1,0,1,1,,
"Dustin Tebbutt","Harvest",1,1,0,1,0,,
"Ed Patrick","Life Vest (Demo)",1,1,0,1,0,,
"Ed Sheeran","I See Fire - From The Hobbit - The Desolation Of Smaug",1,1,1,1,0,,
"ELI","Laying Low",1,1,1,1,0,,
"Eliza Shaddad","Same as You",1,1,1,1,0,,
"Ellie Goulding","Lights - Single Version",1,1,1,0,0,,
"Elliot Root","Chemical Sweat",1,1,0,1,0,,
"Ember Island","Need You",1,1,0,1,0,,
"Emma Ruth Rundle","Shadows Of My Name",1,1,0,1,0,,
"EMMANUELLE","Italove",1,1,0,1,0,,
"Emmit Fenn","Painting Greys",1,1,0,1,1,,
"Fhin","Irreversible",1,1,0,1,0,,
"Fhin","Quand on arrive en ville",1,1,0,1,0,,
"Finding Hope","Happy Times",1,1,0,1,0,,
"Fismoll","Let's Play Birds",1,1,0,1,0,,
"Fjord","I Get It Now",1,1,0,1,0,,
"Fjord","Jealous",1,1,0,1,0,,
"FLETCHER","Sex (With My Ex)",1,1,1,1,0,,
"Fleurie","All the Lines",1,1,0,1,0,,
"Fleurie","Turns You into Stone",1,1,0,1,0,,
"flora cash","Pharaoh - 1987 Remix",1,1,0,1,0,,
"flora cash","You're Somebody Else",1,1,1,1,0,,
"Frannk Whitte","Night Shift",1,1,0,0,0,,
"Friday Night Plans","Plastic Love",1,1,1,1,0,,
"Furns","Forever Yours",1,1,0,1,0,,
"Galimatias","Let Go",1,1,1,1,0,,
"George Taylor","Ophelia",1,1,0,0,0,,
"Geowulf","Won't Look Back",1,1,0,1,0,,
"Ghostly Kisses","Empty Note",1,1,1,1,0,,
"Ghostly Kisses","Never Let Me Go",1,1,1,1,0,,
"Ghostly Kisses","On & Off",1,1,0,1,0,,
"Glass Animals","Gooey",1,1,1,1,0,,
"Glass Animals","Heat Waves",1,1,1,1,0,,
"Glass Animals","The Other Side Of Paradise",1,1,0,1,0,,
"GOLDA","Good Lovin' (Rework)",1,1,0,1,0,,
"Goldfrapp","Moon In Your Mouth",1,1,0,1,0,,
"Gracie Abrams","21",1,1,0,1,0,,
"Haarlo","Love's Gone",1,1,0,1,0,,
"Hannah Georgas","Lost Cause",1,1,0,1,0,,
"Haux","Homegrown",1,1,0,1,0,,
"Healy","Unwind",1,1,1,1,0,,
"Henry Green","Barcelona",1,1,0,1,0,,
"Henry Green","Something",1,1,0,1,0,,
"Henry Green","Stay Here (Rohne Remix)",1,1,0,1,0,,
"HER","Union",0,1,0,1,0,,
"Hollyn","Steady Me (feat. Aaron Cole)",1,1,0,1,0,,
"Honey Mooncie","Should've Been You",1,1,0,1,0,,
"Hozier","Too Sweet",1,1,1,1,0,,
"HVOB","Sync",1,1,0,1,0,,
"HYBS","Rockstar",1,1,0,1,0,,
"HYBS","Tip Toe",1,1,1,1,0,,
"HYBS","Would You Mind",1,1,1,1,0,,
"HÆLOS","DUST",1,1,1,1,0,,
"Ifly","Qosni Qorlan",1,1,0,1,0,,
"In The Valley Below","Hymnal",1,1,0,1,0,,
"Iniko","Jericho",1,1,1,1,0,,
"INTERWORLD","METAMORPHOSIS [Extended]",1,1,0,1,0,,
"Isaac Gracie","all in my mind (Live)",1,1,1,1,0,,
"Islandinside","Connected",1,1,1,1,0,,
"ives.","All Night Long",1,1,0,1,0,,
"ives.","Callin' Ur Phone",1,1,0,1,0,,
"Jadu Heart","Forgotten Ghosts",1,1,0,1,0,,
"James Vincent McMorrow","Get Low",1,1,0,1,1,,
"Jason Chen","Guilty",1,1,0,1,0,,
"Jean Castel","Saying a Lot",1,1,1,1,0,,
"Jenevieve","Baby Powder",1,1,0,1,0,,
"Jenevieve","Deep In The Shallow End",1,1,1,1,0,,
"Jenevieve","Love Quotes",1,1,1,1,0,,
"Jenevieve","Résumé",1,1,1,1,0,,
"Jesus","Turning Teeth",1,1,0,1,0,,
"JORDANN","Dehors",1,1,1,1,1,,
"Joshua Burnside","And You Evade Him/Born in the Blood",1,1,0,1,1,,
"Joshua Golden","used to",1,1,0,1,0,,
"Justin Timberlake","Cry Me A River ",1,1,1,1,0,,
"Kaleida","Echo Saw You",1,1,0,1,0,,
"Kate Miller","Fortify",1,1,0,1,0,,
"Kavinsky","Nightcall (Drive Original Movie Soundtrack)",1,1,0,1,1,,
"Kenichiro Nishihara","our love (feat. mabanua)",0,1,0,0,0,,
"keshi","Say",1,1,1,1,0,,
"Kim Davis","There's Only One",1,1,0,1,0,,
"KKK_OFFICIAL","Play 0.9x (Remix)",0,1,0,1,0,,
"Kllo","Nylon",1,1,0,1,0,,
"Kurt Hugo Schneider","HALSEY - Without Me (Sam Tsui, Shannon K, KHS Cover)",0,1,1,0,0,,
"Kurt Hugo Schneider, Madilyn Bailey","Senorita",0,1,0,1,0,,
"Kyle Lionhart","Sleep By Rivers",1,1,0,1,0,,
"Lana Del Rey","Chemtrails Over The Country Club",1,1,1,1,0,,
"Land Lines","Will + Worry",1,1,0,1,0,,
"Las Ketchup","The Ketchup Song (Aserejé) - Spanglish Version",1,1,0,0,0,,
"Laura Marling","Soothing",1,1,1,1,0,,
"Lauv","Reforget",1,1,0,1,0,,
"League of Legends","K/DA - POP/STARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) | Music Video",1,1,0,1,0,,
"Leigh Nash","Along the Wall",1,1,0,1,0,,
"LEISURE","All over You",1,1,0,1,0,,
"Lenka","Crystal Ball",1,1,0,1,0,,
"Life Is Better Blonde","Swim Good",1,1,0,1,0,,
"Limi","Dangerous",0,1,0,0,0,,
"Litche","Look Up",1,1,0,1,0,,
"Little Shoes Big Voice","Nightfall (feat. Emily Harvey & Jack Durtnall)",1,1,0,1,0,,
"LIZOT","On The Top",1,1,0,1,0,,
"LNKAY","Hurricane",1,1,0,1,0,,
"Lola Marsh","You're Mine",1,0,0,0,0,,
"Lostboycrow","Devil's in the Backseat",1,1,0,1,0,,
"Loving Caliber","Trip N' Fall",1,1,0,1,0,,
"Low Roar","Don't Be so Serious",1,1,0,1,0,,
"Low Roar","I'll Keep Coming",1,1,0,1,0,,
"Lund","F*ck Love",1,1,0,1,0,,
"Lungley","Halcyon Sea",1,1,0,1,0,,
"Lungley","In Flames",1,1,0,1,0,,
"LVNDSCAPE","Walk Away (feat. Kaptan)",1,1,1,1,0,,
"MADANII","Sober",1,1,1,1,1,,
"Madelyn Darling","Bad Tourist",1,1,0,1,0,,
"Majik","27",1,1,0,1,0,,
"Majik","Closer",1,1,0,1,0,,
"Majik","Real",1,1,0,1,0,,
"Mansionair","Easier",1,1,0,1,1,,
"MARIA","Deep into You",0,1,0,1,1,,
"Mathea","Zu Weit",1,1,0,1,0,,
"Matt Terry","Got You",1,1,0,1,0,,
"Matt Van","Masochist",1,1,0,1,0,,
"Matt Wertz","Hold on to Me",1,1,0,1,0,,
"Meiko","Bad Things",1,1,1,1,0,,
"Melissa Polinar & John Splithoff ","February Song",1,1,0,1,0,,
"MELVV","Not Me",1,1,0,1,0,,
"Men I Trust","Tailwhip",1,1,1,1,0,,
"Metro Boomin, Future & Lil Uzi Vert","All The Way Live (Spider-Man: Across the Spider-Verse)",1,1,0,1,0,,
"Midnight To Monaco","One In A Million",1,1,1,1,0,,
"Mild Orange","Some Feeling",1,1,0,1,1,,
"Morcheeba","Trigger Hippie",0,1,0,0,0,,
"Morly","Plucky",1,1,0,1,0,,
"Motte","Backspace (feat. Marvin)",1,1,0,1,1,,
"Movement","Us",1,1,1,1,0,,
"MTNS","Fears",1,1,0,1,0,,
"Muni Long","Made For Me",1,1,0,1,0,,
"My","Навсегда",1,1,0,0,0,,
"Nesian Mystik","Prospect",1,1,0,1,0,,
"Ni/Co & Ni/Co's Covers","We Belong Together",1,1,1,1,0,,
"Nick Broadhurst","Little Lover - TEEMID Remix",1,1,0,1,0,,
"Nick Broadhurst","Status Quo",1,1,0,1,0,,
"Niia","Last Night in Los Feliz",1,1,1,1,0,,
"NoMBe","Seminole",1,1,0,1,0,,
"Numcha","Dirty Shoes",1,1,1,1,0,,
"Numcha","Keep Cold",1,1,1,1,0,,
"NÉONHÈART","You",1,1,0,1,0,,
"O3ohn","Kalt (Feat. JOONIE)",1,1,1,1,0,,
"Oh Wonder","All We Do",1,1,1,1,0,,
"Oh Wonder","Without You",1,1,1,0,0,,
"Ohashi Trio","SHIZK",1,1,0,1,1,,
"Old Man Canyon","Phantoms and Friends",1,1,1,1,0,,
"OmenXIII","Black Sheep",1,1,0,1,0,,
"OVERWERK","Moments ft. Black Atlass (feat. Black Atlass)",1,1,0,1,0,,
"Parra for Cuva","While You Sleep",1,1,0,1,0,,
"Poolside","Which Way To Paradise",1,1,0,1,0,,
"POWERS","Man On The Moon",1,1,1,1,0,,
"Prinze George","Victor",1,1,1,1,0,,
"Public Library Commute","easy living",1,1,0,1,0,,
"PVRIS","Only Love",1,1,0,1,0,,
"Racoon","Took a Hit",1,1,0,1,0,,
"Rag'n'Bone Man","Human",1,1,1,1,0,,
"RINI","Good Intentions",1,1,0,1,0,,
